date,title, Y/N
2023/04/10,台積電無法接受美晶片法補助 經長：業者與美積極溝通中,#no
2023/04/10,台積電3月營收1454億元 月減1成探17個月低點 Q1寫歷年同期高,#no
2023/04/11,分析師：台積電Q1營收未達標 釋半導體危險訊號,#no
2023/04/11,〈台股盤前要聞〉台積電3月營收月減1成、聯發科Q1探11季低點 今日必看財經新聞,#no
2023/04/12,遭冒用張忠謀身分詐騙 台積電：保留法律追訴權,#no
2023/04/13,外資大舉提款台積電及日月光 逆勢加碼面板、航空股,#no
2023/04/13,魏哲家3月獲配46張台積電限制股票 市值超過2400萬元,#no
2023/04/13,魏哲家3月獲配46張台積電限制股票 市值超過2400萬元,#no
2023/04/13,巴菲特：台積電是很棒的公司 賣股出於地緣政治考量,#no
2023/04/16,台股下周挑戰萬六 聚焦台積電法說牽動盤勢,#no
2023/04/16,台積電法說、3月外銷訂單、Touch Taiwan開幕 本周大事預告,#no
2023/04/16,〈台股風向球〉台積電法說在即 中小股走自己的路,#no
2023/04/17,【量大強漲股整理】台積電大單拉尾如何解讀?萬六關卡只是多頭剛剛開始?,#no
2023/04/17,〈台股盤後〉台積電拉尾盤+中小型股撐腰 黑翻紅站回短均,#no
2023/04/17,6檔Q1營收大增的財報潛力股搶先看！注意本週四台積電法說,#no
2023/04/17,〈董事酬勞公布〉上市公司台積電、聯發科去年平均每位董事酬勞破億元,#no
2023/04/17,台積電沒有它不能成神! 最有潛力的翻倍產業準備噴出!?,#no
2023/04/18,【量大強漲股整理】台股今日拉回的原因為何?市場靜待台積電週四法說會,#no
2023/04/19,WSJ：台積電向美國尋求高達150億美元補助建廠 但反對某些附加條件,#no
2023/04/19,ASML Q1獲利優預期 全年營收估年增25% 撇台積電砍單傳聞,#yes
2023/04/19,【量大強漲股整理】台積電法說在即醞釀利空出盡，台股拉回找買點!,#no
2023/04/19,〈台股盤前〉指數空間已窄且多頭架構可能改變 要靠台積電指路,#no
2023/04/20,〈台積電法說〉今年營收衰退幅度低預期 ADR早盤逆勢勁揚 一度大漲逾5%,#no
2023/04/20,〈台積電法說〉下修營收展望、電價漲影響毛利率、高雄廠轉先進製程 一文看懂九大重點,#no
2023/04/20,〈台積電法說〉今年資本支出金額不變 3奈米維持Q3放量,#no
2023/04/20,〈台積電法說〉今年資本支出金額不變 3奈米維持Q3放量,#no
2023/04/20,〈台積電法說〉高雄廠捨28奈米 黃仁昭：可能是3奈米以下先進製程,#no
2023/04/20,〈房產〉台積電高雄設廠變變變 房仲：楠梓預售屋一年半漲幅已近4成,#no
2023/04/20,ASML 訂單量年減 46% 台積電Q2估營收衰退4-9%,#no
2023/04/20,【量大強漲股整理】強勢股拉回是買點!台積電法說優於預期!該佈局那些股票告訴你!,#no
2023/04/20,〈台積電法說〉Q2營收估季減6.7% 下半年將強勁成長,#no
2023/04/20,〈台積電法說〉調降今年美元營收估下滑1-6% 近14年來首度衰退,#no
2023/04/20,〈台股盤後〉大盤收跌62.95點摜破月線 台積電、欣興表現淡定,#no
2023/04/20,〈台積電法說〉Q1雙率飛越財測 每股賺7.98元優於預期,#yes
2023/04/20,【選股策略】台積電法說今登場，7檔營收成長的台積電概念股報你知！,#no
2023/04/20,台積電增資美鳳凰城挹注 我首季對外投資金額年增2.4倍,#unknown
2023/04/20,〈台股盤前〉台積電ADR憔悴 恐拖累大盤續弱 關鍵支撐點位看這裡,#no
2023/04/21,台積電首創國內再生能源聯合採購模式 與誠新電力簽200億度合約,#no
2023/04/21,電價大漲傷台積電毛利率 經長撇清指與三因素有關,#no
2023/04/21,從台積電法說會  窺探哪些供應鏈會成為主流飆股,#no
2023/04/21,2330台積電—世界晶圓代工的領航者，最新法說展望整理；2奈米簡介,#no
2023/04/21,〈台股盤前要聞〉台積電下修今年營收展望、碳權交易所年中設立 今日必看財經新聞,#no
2023/04/22,台積電法說、台設碳權交易平台、SpaceX升空爆炸 本周大事回顧,#yes
2023/04/22,台積電法說、台設碳權交易平台、SpaceX升空爆炸 本周大事回顧,#unknown
2023/04/22,台積電法說、台設碳權交易平台、SpaceX升空爆炸 本周大事回顧,#unknown
2023/04/22,台積電法說、台設碳權交易平台、SpaceX升空爆炸 本周大事回顧,#no
2023/04/24,台積電今年度調薪4-5%、回歸常態 預計明日發薪,#no
2023/04/25,台積電竹南封測廠工地傳火警 將協助包商釐清事發原因,#no
2023/04/25,外資大砍開發金2.4萬張 連二賣台積電共超過2萬張,#no
2023/04/25,〈台股盤前要聞〉台積電恢復常態調薪、崑鼎大啖再生水商機 今日必看財經新聞,#no
2023/04/26,美半導體協會來台拜會 台積電：分享晶片法案補助細節,#no
2023/04/26,確保晶片供貨穩定 本田汽車與台積電達成策略合作協議,#no
2023/04/26,〈台股盤中〉台積電走低造成半導體類股接單疑慮 大盤呈弱勢整理,#no
2023/04/27,第1季專利申請 台積電752件連4年稱雄,#no
2023/04/27,〈台股盤中〉台積電翻紅 震盪小漲40點,#no
2023/04/27,台積電北美技術論壇登場 2奈米如期於2025年量產,#no
2023/04/27,分析師：台積電3奈米產能受限 等待ASML更強EUV問世,#no
2023/04/27,〈台股盤前要聞〉美半導體協會訪台積電、保險業Q1稅前虧295億元 今日必看財經新聞,#yes
2023/04/28,台積電建立微影製程材料本土供應鏈 年產值逾15億元,#no
2023/04/28,台積電回神領多方反攻 台股強彈167點收15579點 周線收紅,#yes
2023/04/28,〈台股盤前要聞〉台積電2奈米2025量產、金控雙雄股利出爐 今日必看財經新聞,#no
2023/04/29,台積電技術論壇、聯發科等大廠法說 本周大事回顧,#no
2023/04/29,亞利桑那州廠傳失火 台積電：第一時間即受到控制,#no